viewer_id,age_group,gender,city,subscription_plan,join_date,is_active
V0451,18-24,Non-binary,New York,Basic,2024-03-08,Yes
V0452,45-54,Male,Bangalore,Premium,2023-12-03,Yes
V0453,45-54,Male,Delhi,Basic,2022-10-02,No
V0454,45-54,Female,Ahmedabad,Free,2022-10-10,Yes
V0455,25-34,Non-binary,Ahmedabad,Basic,2022-09-15,No
V0456,25-34,Female,Mumbai,Family,2022-04-20,Yes
V0457,55+,Female,Kolkata,Family,2024-05-11,Yes
V0458,55+,Male,Chennai,Premium,2023-03-17,Yes
V0459,35-44,Male,Pune,Premium,2023-05-06,Yes
V0460,45-54,Non-binary,Hyderabad,Premium,2024-01-23,No
V0461,45-54,Female,Delhi,Basic,2022-10-15,Yes
V0462,55+,Male,Ahmedabad,Basic,2023-11-30,No
V0463,35-44,Non-binary,Delhi,Family,2024-03-27,No
V0464,35-44,Male,Chennai,Basic,2022-05-23,No
V0465,45-54,Male,Ahmedabad,Family,2024-03-19,No
V0466,55+,Non-binary,Pune,Free,2023-07-02,Yes
V0467,55+,Non-binary,Delhi,Free,2023-12-20,Yes
V0468,35-44,Male,London,Free,2023-11-05,No
V0469,35-44,Female,Delhi,Free,2024-02-10,Yes
V0470,25-34,Non-binary,New York,Basic,2022-09-22,No
V0471,45-54,Female,London,Basic,2023-01-19,Yes
V0472,45-54,Male,Chennai,Family,2022-01-26,Yes
V0473,25-34,Female,Chennai,Premium,2022-04-29,No
V0474,25-34,Non-binary,Ahmedabad,Premium,2024-03-14,No
V0475,45-54,Non-binary,Ahmedabad,Premium,2022-04-10,Yes
V0476,18-24,Non-binary,Delhi,Free,2022-11-04,Yes
V0477,18-24,Non-binary,Bangalore,Basic,2023-10-26,Yes
V0478,25-34,Female,New York,Family,2023-07-20,No
V0479,45-54,Non-binary,Bangalore,Basic,2022-08-26,No
V0480,18-24,Non-binary,London,Basic,2023-02-10,No
V0481,45-54,Female,Mumbai,Basic,2023-08-30,Yes
V0482,18-24,Non-binary,Delhi,Basic,2022-10-13,Yes
V0483,25-34,Female,Delhi,Premium,2022-11-30,No
V0484,35-44,Non-binary,Pune,Family,2023-06-25,Yes
V0485,35-44,Female,London,Basic,2022-12-23,Yes
V0486,55+,Male,Bangalore,Premium,2023-09-22,Yes
V0487,35-44,Male,Bangalore,Premium,2022-09-02,Yes
V0488,45-54,Female,London,Basic,2023-06-08,No
V0489,25-34,Female,New York,Basic,2023-03-10,Yes
V0490,35-44,Male,Bangalore,Premium,2023-05-17,No
V0491,18-24,Female,Mumbai,Family,2023-09-27,Yes
V0492,45-54,Non-binary,New York,Family,2022-07-19,No
V0493,45-54,Female,Ahmedabad,Family,2023-12-03,Yes
V0494,55+,Male,Hyderabad,Premium,2022-03-26,Yes
V0495,25-34,Non-binary,Chennai,Basic,2022-10-09,No
V0496,45-54,Non-binary,New York,Free,2023-08-03,Yes
V0497,55+,Female,New York,Free,2022-10-02,No
V0498,25-34,Female,Delhi,Basic,2023-07-14,Yes
V0499,18-24,Female,Chennai,Premium,2024-06-14,Yes
V0500,18-24,Male,Hyderabad,Premium,2023-03-26,No
